has_form,form_count,has_iframe,iframe_count,has_script,script_count,has_password_input,password_input_count,submit_input_count,email_input_count,hidden_tag_count,anchor_count,empty_href_count,https_link_ratio,external_link_count,internal_link_count,internal_to_total_ratio,external_to_total_ratio,suspicious_anchor_count,onclick_event_count,has_js_redirect,js_redirect_count,right_click_disabled,has_popup,popup_count,submit_to_email,has_favicon,has_div_upper,has_base64,total_line_count,total_text_length,title,title_length,meta_description,comment_count,div_count,span_count,style_count,meta_count,img_count,label_count,select_count,audio_count,video_count,table_count,th_count,tr_count,td_count,li_count,ul_count,p_count,h1_count,h2_count,br_count,option_count,base_count,address_count,nav_count,figure_count,section_count,canvas_count,button_count,label,url
0,0,0,0,1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://barrasparacortinas.com
0,0,0,0,1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,http://mmazepr.com
0,0,0,0,1,3,0,0,0,0,0,4,0,0.0,0,4,1.0,0.0,0,3,0,0,0,0,0,0,0,0,0,69,140,1,17,0,0,2,0,1,2,1,0,0,0,0,1,3,2,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,https://myleatherluggageshop.com
0,0,0,0,1,9,0,0,0,0,0,3,0,1.0,3,0,0.0,1.0,1,0,1,8,0,0,0,0,1,0,0,693,135,1,17,1,5,9,2,6,16,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,http://altridumpsterrentals.com
0,0,0,0,1,5,0,0,0,0,0,8,0,1.0,8,0,0.0,1.0,1,0,1,1,0,0,0,0,0,0,0,152,679,1,45,1,0,20,5,1,4,2,0,0,0,0,0,0,0,0,4,1,4,0,1,6,0,0,0,1,0,0,0,1,0,https://readytechnologles.com
0,0,0,0,1,6,0,0,0,0,0,1,0,0.0,1,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,62,92,1,18,0,1,5,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,https://rudysroofinginc.com
0,0,0,0,1,5,0,0,0,0,0,1,0,0.0,0,1,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,57,103,1,23,0,1,4,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,https://colemacollc.com
0,0,0,0,1,1,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0,1,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,http://ryzupscheduler.com
0,0,0,0,1,6,0,0,0,0,0,1,0,0.0,1,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,62,98,1,18,0,1,5,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,http://goodneighbortransport.com
0,0,0,0,1,6,0,0,0,0,0,1,0,0.0,1,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,62,101,1,18,0,1,5,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,https://toledocommercialpainting.net
