url,website,html,label
http://harmonyvips.com,harmonyvips.com,harmonyvips_com.html,0
http://cocobenlemariage.com,cocobenlemariage.com,cocobenlemariage_com.html,0
https://rrgoldsilchar.com,rrgoldsilchar.com,rrgoldsilchar_com.html,0
https://barbaybosque.com,barbaybosque.com,barbaybosque_com.html,0
https://toledocommercialpainting.net,toledocommercialpainting.net,toledocommercialpainting_net.html,0
http://lvomagasine.com,lvomagasine.com,lvomagasine_com.html,0
https://mobilepay-online-dk.bio,mobilepay-online-dk.bio,mobilepay-online-dk_bio.html,0
https://casa141arquitetura.com,casa141arquitetura.com,casa141arquitetura_com.html,0
http://heathbarkerbooks.com,heathbarkerbooks.com,heathbarkerbooks_com.html,0
http://bullheadventure.com,bullheadventure.com,bullheadventure_com.html,0
https://auguryresearch.com,auguryresearch.com,auguryresearch_com.html,0
http://mmazepr.com,mmazepr.com,mmazepr_com.html,0
http://amparoillescas.com,amparoillescas.com,amparoillescas_com.html,0
http://digitalproductsus.com,digitalproductsus.com,digitalproductsus_com.html,0
http://shefabhcapital.com,shefabhcapital.com,shefabhcapital_com.html,0
https://aiagents-rene.com,aiagents-rene.com,aiagents-rene_com.html,0
https://readytechnologles.com,readytechnologles.com,readytechnologles_com.html,0
http://goodneighbortransport.com,goodneighbortransport.com,goodneighbortransport_com.html,0
https://home-roofing-bfykcw.zone,home-roofing-bfykcw.zone,home-roofing-bfykcw_zone.html,0
https://bookedupbymollie.com,bookedupbymollie.com,bookedupbymollie_com.html,0
https://rasakraft.com,rasakraft.com,rasakraft_com.html,0
http://myteccomp.com,myteccomp.com,myteccomp_com.html,0
https://colemacollc.com,colemacollc.com,colemacollc_com.html,0
http://altridumpsterrentals.com,altridumpsterrentals.com,altridumpsterrentals_com.html,0
https://taxi4dac.cfd,taxi4dac.cfd,taxi4dac_cfd.html,0
https://maisondaroma.com,maisondaroma.com,maisondaroma_com.html,0
http://thefieldcounseling.com,thefieldcounseling.com,thefieldcounseling_com.html,0
https://saintlouishotelsguide.com,saintlouishotelsguide.com,saintlouishotelsguide_com.html,0
https://ug989.org,ug989.org,ug989_org.html,0
http://barrasparacortinas.com,barrasparacortinas.com,barrasparacortinas_com.html,0
http://ryzupscheduler.com,ryzupscheduler.com,ryzupscheduler_com.html,1
http://sommaschool.com,sommaschool.com,sommaschool_com.html,0
https://carolwambuiword.com,carolwambuiword.com,carolwambuiword_com.html,0
https://againdrop.com,againdrop.com,againdrop_com.html,0
https://myleatherluggageshop.com,myleatherluggageshop.com,myleatherluggageshop_com.html,0
https://josiescoffee.com,josiescoffee.com,josiescoffee_com.html,0
https://metafbbrowsersa-urltr.cfd,metafbbrowsersa-urltr.cfd,metafbbrowsersa-urltr_cfd.html,1
https://affectedsnowball.com,affectedsnowball.com,affectedsnowball_com.html,0
https://thesanctityfoundation.org,thesanctityfoundation.org,thesanctityfoundation_org.html,0
https://ralphyspizzarestaurantnj.com,ralphyspizzarestaurantnj.com,ralphyspizzarestaurantnj_com.html,0
https://swargg.com,swargg.com,swargg_com.html,0
https://bazll.com,bazll.com,bazll_com.html,0
https://kyiosk.com,kyiosk.com,kyiosk_com.html,0
https://fallenn.com,fallenn.com,fallenn_com.html,0
https://kryptoshift.world,kryptoshift.world,kryptoshift_world.html,0
http://marydonas.org,marydonas.org,marydonas_org.html,0
http://marydonas.net,marydonas.net,marydonas_net.html,0
https://kmddirect.com,kmddirect.com,kmddirect_com.html,0
http://karolinfrick.com,karolinfrick.com,karolinfrick_com.html,0
http://gabipet.store,gabipet.store,gabipet_store.html,0
https://behumorous.com,behumorous.com,behumorous_com.html,0
